Date,Home Team,Away Team,Difference doubles,Difference triples,Difference homeruns,Difference hits,Difference hitbypitch,Difference avg,Difference obp,Difference slg,Difference ops,Difference groundintodoubleplay,Difference leftonbase,Difference strikeouts,Difference baseonballs,Difference whip,Difference strikepercentage,Difference pitchesperinning,Difference homerunsper9,Home Team Won
"March 28, 2025",LAD,DET,-1.0,-1.0,1.0,-2.0,1.0,-0.037000000000000005,-0.02899999999999997,0.010999999999999954,-0.017999999999999905,1.0,-9.0,6.0,3.0,0.28,-0.020000000000000018,0.6499999999999986,-1.09,True
"March 29, 2025",NYY,MIL,0.0,0.0,8.0,3.0,0.0,0.07300000000000001,0.10899999999999999,0.478,0.5870000000000001,0.0,-11.0,4.0,-6.0,-0.75,0.05999999999999994,-5.050000000000001,-9.13,True
"March 29, 2025",CWS,LAA,0.0,0.0,0.0,-6.0,0.0,-0.020000000000000018,-0.023999999999999966,0.10099999999999998,0.07699999999999996,-2.0,-11.0,0.0,0.0,0.06000000000000005,-0.010000000000000009,3.1099999999999994,0.0,False
"March 29, 2025",STL,MIN,1.0,0.0,0.0,7.0,2.0,0.136,0.17800000000000002,0.18,0.358,-1.0,20.0,-7.0,-5.0,-0.9099999999999999,0.010000000000000009,-8.83,0.0,True
"March 29, 2025",TOR,BAL,0.0,0.0,-2.0,-4.0,-2.0,-0.008000000000000007,0.0040000000000000036,-0.20999999999999996,-0.20599999999999996,0.0,12.0,-5.0,-4.0,-0.06000000000000005,0.030000000000000027,0.23000000000000043,2.0,False
"March 29, 2025",WSH,PHI,0.0,0.0,0.0,-2.0,0.0,-0.05299999999999999,-0.08700000000000002,-0.12199999999999994,-0.20899999999999996,-1.0,3.0,-10.0,4.0,0.6299999999999999,-0.050000000000000044,1.6600000000000001,0.0,False
"March 29, 2025",KC,CLE,0.0,0.0,0.0,5.0,0.0,0.015999999999999986,-0.01899999999999996,-0.03999999999999998,-0.05899999999999994,-1.0,4.0,1.0,2.0,0.04999999999999982,-0.12,-0.41000000000000014,-0.1299999999999999,True
"March 29, 2025",CIN,SF,-1.0,0.0,1.0,0.0,-1.0,0.031,0.06,-0.016000000000000014,0.04400000000000004,-3.0,0.0,-8.0,-1.0,-0.35,0.0,-3.3199999999999985,-1.25,True
"March 29, 2025",TB,COL,1.0,0.0,0.0,6.0,0.0,0.09199999999999997,0.10399999999999998,0.123,0.22699999999999998,2.0,12.0,6.0,-5.0,-0.58,0.15000000000000002,-2.7799999999999994,0.0,False
"March 29, 2025",MIA,PIT,4.0,0.0,0.0,4.0,0.0,0.066,0.013000000000000012,0.09399999999999997,0.10699999999999998,0.0,-3.0,1.0,5.0,-0.07999999999999985,-0.050000000000000044,-0.5500000000000007,0.0,True
"March 29, 2025",TEX,BOS,0.0,0.0,0.0,1.0,2.0,0.04200000000000001,0.02400000000000002,0.07400000000000001,0.09799999999999998,1.0,-10.0,6.0,5.0,0.030000000000000027,-0.010000000000000009,2.5599999999999987,-0.1299999999999999,True
"March 29, 2025",HOU,NYM,0.0,0.0,1.0,4.0,0.0,0.03999999999999998,0.02999999999999997,0.008000000000000007,0.038000000000000034,1.0,4.0,3.0,0.0,-0.19000000000000006,-0.020000000000000018,-0.22000000000000064,-1.13,True
"March 29, 2025",SD,ATL,0.0,0.0,0.0,-1.0,1.0,0.08700000000000002,0.02200000000000002,0.11499999999999999,0.137,-2.0,-6.0,-2.0,3.0,-0.06000000000000005,-0.09999999999999998,-0.10999999999999943,0.0,True
"March 29, 2025",AZ,CHC,0.0,0.0,-1.0,1.0,0.0,0.10699999999999998,0.07199999999999995,0.21600000000000003,0.28800000000000003,0.0,8.0,2.0,-2.0,-0.26,0.010000000000000009,-2.8900000000000006,1.0,False
"March 29, 2025",LAD,DET,3.0,-1.0,3.0,1.0,0.0,-0.013999999999999985,-0.013000000000000012,0.10299999999999998,0.08999999999999997,-1.0,-8.0,4.0,1.0,0.16999999999999993,-0.030000000000000027,0.060000000000002274,-3.38,True
"March 29, 2025",SEA,ATH,1.0,0.0,-1.0,-4.0,2.0,-0.059000000000000025,0.026000000000000023,-0.17099999999999999,-0.14500000000000002,0.0,9.0,-5.0,-4.0,0.0,0.09000000000000008,-1.5600000000000023,1.0,False
"March 30, 2025",WSH,PHI,4.0,0.0,2.0,1.0,0.0,-0.02300000000000002,-0.07,0.02699999999999997,-0.04299999999999993,-2.0,-13.0,-5.0,4.0,0.49,-0.020000000000000018,-2.6099999999999994,-2.25,True
"March 30, 2025",NYY,MIL,0.0,0.0,3.0,5.0,1.0,0.09700000000000003,0.129,0.4590000000000001,0.5880000000000001,1.0,-1.0,4.0,-2.0,-0.8200000000000001,0.010000000000000009,-6.049999999999999,-3.5,True
"March 30, 2025",TOR,BAL,1.0,0.0,1.0,-2.0,0.0,-0.015000000000000013,-0.0050000000000000044,-0.134,-0.139,-1.0,-4.0,5.0,0.0,-0.020000000000000018,0.0,0.5599999999999987,-1.13,True
"March 30, 2025",CIN,SF,-2.0,0.0,0.0,-2.0,0.0,0.007000000000000006,0.03199999999999997,-0.03999999999999998,-0.008000000000000007,1.0,0.0,2.0,0.0,-0.15000000000000002,0.020000000000000018,1.8900000000000006,0.0,False
"March 30, 2025",TB,COL,1.0,0.0,0.0,0.0,0.0,0.06599999999999998,0.09399999999999997,0.09800000000000003,0.19199999999999995,-1.0,0.0,3.0,-3.0,-0.5499999999999999,0.07000000000000006,-4.77,-0.1299999999999999,True
"March 30, 2025",MIA,PIT,0.0,0.0,0.0,2.0,1.0,0.066,0.014000000000000012,0.08899999999999997,0.10299999999999998,1.0,-1.0,4.0,3.0,-0.07000000000000006,-0.050000000000000044,-0.129999999999999,-0.1299999999999999,True
"March 30, 2025",KC,CLE,1.0,1.0,-3.0,-6.0,2.0,-0.04300000000000001,-0.05400000000000005,-0.135,-0.18899999999999995,-2.0,-5.0,0.0,2.0,0.31999999999999984,0.010000000000000009,3.8900000000000006,3.0,False
"March 30, 2025",CWS,LAA,1.0,0.0,0.0,1.0,-1.0,-0.006000000000000005,-0.016000000000000014,0.08300000000000002,0.06700000000000006,-2.0,1.0,0.0,0.0,0.0,-0.030000000000000027,2.8900000000000006,0.0,False
"March 30, 2025",STL,MIN,1.0,0.0,2.0,5.0,0.0,0.13899999999999998,0.18100000000000002,0.239,0.42000000000000004,1.0,-1.0,1.0,-3.0,-0.97,0.10999999999999999,-5.17,-2.38,True
"March 30, 2025",TEX,BOS,-3.0,0.0,2.0,1.0,-1.0,0.045999999999999985,0.0,0.09800000000000003,0.09800000000000009,0.0,-10.0,6.0,5.0,0.10999999999999988,-0.06000000000000005,5.119999999999999,-2.25,True
"March 30, 2025",AZ,CHC,3.0,0.0,-2.0,5.0,0.0,0.12100000000000002,0.10800000000000004,0.19500000000000006,0.30299999999999994,-1.0,15.0,4.0,-5.0,-0.41999999999999993,0.010000000000000009,-3.219999999999999,1.87,True
"March 30, 2025",SEA,ATH,-1.0,0.0,0.0,1.0,0.0,-0.036000000000000004,0.014999999999999958,-0.128,-0.11299999999999999,-1.0,-7.0,-1.0,3.0,0.020000000000000018,-0.029999999999999916,-0.4900000000000002,-0.1299999999999999,True
"March 30, 2025",SD,ATL,5.0,0.0,0.0,8.0,0.0,0.12200000000000003,0.09000000000000002,0.18,0.27,0.0,14.0,-1.0,-5.0,-0.47,0.09000000000000008,-6.359999999999999,0.0,True
"March 31, 2025",CWS,MIN,0.0,0.0,3.0,6.0,-1.0,0.067,0.07699999999999999,0.18099999999999997,0.25799999999999995,0.0,6.0,8.0,-1.0,-0.7999999999999999,-0.020000000000000018,-2.780000000000001,-3.38,True
"March 31, 2025",MIL,KC,0.0,0.0,-2.0,-8.0,-1.0,-0.03,-0.03600000000000003,-0.08000000000000002,-0.11599999999999999,1.0,-9.0,-4.0,2.0,0.7899999999999998,-0.07000000000000006,4.329999999999998,2.0,False
"March 31, 2025",BAL,BOS,1.0,-1.0,0.0,7.0,0.0,0.10399999999999998,0.07500000000000001,0.21500000000000002,0.29000000000000004,3.0,5.0,6.0,1.0,0.10999999999999988,0.010000000000000009,3.429999999999998,0.0,True
"March 31, 2025",PHI,COL,4.0,0.0,2.0,5.0,0.0,0.07799999999999999,0.118,0.23500000000000004,0.353,1.0,-6.0,8.0,3.0,-0.29000000000000004,0.030000000000000027,-0.6400000000000006,-2.38,True
"March 31, 2025",CIN,TEX,0.0,0.0,2.0,9.0,2.0,0.04100000000000001,0.055999999999999994,0.07200000000000001,0.128,1.0,7.0,1.0,0.0,-0.42000000000000015,-0.050000000000000044,-4.489999999999998,-2.38,True
