hits (Home-Away),homeruns (Home-Away),leftonbase (Home-Away),obp (Home-Away),slg (Home-Away),strikeouts (Home-Away),strikepercentage (Home-Away),whip (Home-Away),SP ERA (Home-Away),y
-4.0,0.0,-13.0,-0.20099999999999998,-0.132,0.0,-0.030000000000000027,1.23,-1.8,0
1.0,-3.0,7.0,-0.08899999999999997,-0.219,-3.0,-0.020000000000000018,0.55,8.25,0
0.0,1.0,-3.0,0.03500000000000003,0.14999999999999997,3.0,0.050000000000000044,-0.15999999999999992,-1.9100000000000001,1
-10.0,-5.0,-8.0,-0.17099999999999999,-0.596,5.0,0.040000000000000036,1.1099999999999999,7.800000000000001,0
1.0,-2.0,5.0,0.007000000000000006,-0.122,6.0,-0.010000000000000009,0.0,-0.6000000000000001,0
-3.0,-1.0,0.0,-0.08300000000000002,-0.21299999999999997,6.0,-0.010000000000000009,0.5999999999999999,-1.5,0
-3.0,0.0,-1.0,-0.101,-0.15699999999999997,-5.0,-0.039999999999999925,0.5,0.0,0
1.0,0.0,-6.0,0.02899999999999997,0.00799999999999998,0.0,-0.010000000000000009,-0.16999999999999993,-3.86,1
2.0,-2.0,3.0,0.11300000000000002,-0.09099999999999997,9.0,0.07000000000000006,-0.44000000000000006,-1.8000000000000003,0
3.0,-1.0,-8.0,0.026000000000000023,0.11299999999999999,1.0,-0.06000000000000005,-0.06000000000000005,4.719999999999999,1
4.0,2.0,-5.0,0.08499999999999999,0.32499999999999996,4.0,-0.010000000000000009,-0.5999999999999999,-4.5,1
3.0,-1.0,-2.0,0.07,0.07500000000000001,0.0,-0.07000000000000006,-0.53,0.48,1
2.0,1.0,-2.0,0.04600000000000004,0.133,6.0,0.010000000000000009,-0.28,0.0,1
-2.0,2.0,-25.0,-0.02699999999999997,0.051000000000000045,3.0,-0.040000000000000036,0.26,-3.6,1
-3.0,0.0,-2.0,0.032999999999999974,0.15000000000000002,6.0,-0.050000000000000044,0.48,3.5999999999999996,0
2.0,0.0,7.0,0.249,0.13,3.0,0.12,-1.06,1.29,1
0.0,1.0,-6.0,-0.046999999999999986,0.05399999999999999,3.0,-0.04999999999999993,0.1100000000000001,1.5,1
11.0,-1.0,11.0,0.02799999999999997,-0.18699999999999994,0.0,0.030000000000000027,-0.09000000000000008,-7.800000000000001,1
0.0,0.0,-8.0,0.030999999999999972,0.046999999999999986,-1.0,-0.020000000000000018,-0.1299999999999999,3.9000000000000004,0
0.0,2.0,-8.0,0.034999999999999976,0.07200000000000001,4.0,0.010000000000000009,-0.11999999999999988,-4.55,1
-2.0,-1.0,5.0,-0.016000000000000014,-0.11099999999999999,1.0,-0.020000000000000018,-0.010000000000000009,1.2,0
11.0,2.0,1.0,0.08200000000000002,0.31399999999999995,-2.0,0.010000000000000009,-0.18000000000000016,-10.770000000000001,1
-7.0,-3.0,0.0,0.01200000000000001,-0.192,-8.0,-0.050000000000000044,-0.010000000000000009,3.6,0
5.0,1.0,2.0,0.05700000000000005,0.172,10.0,-0.010000000000000009,-0.28,0.8300000000000001,1
-2.0,1.0,-9.0,-0.02899999999999997,0.010999999999999954,6.0,-0.020000000000000018,0.28,0.41999999999999993,1
3.0,8.0,-11.0,0.10899999999999999,0.478,4.0,0.05999999999999994,-0.75,-32.14,1
-6.0,0.0,-11.0,-0.023999999999999966,0.10099999999999998,0.0,-0.010000000000000009,0.06000000000000005,0.0,0
7.0,0.0,20.0,0.17800000000000002,0.18,-7.0,0.010000000000000009,-0.9099999999999999,-0.30000000000000004,1
-4.0,-2.0,12.0,0.0040000000000000036,-0.20999999999999996,-5.0,0.030000000000000027,-0.06000000000000005,-2.4399999999999995,0
-2.0,0.0,3.0,-0.08700000000000002,-0.12199999999999994,-10.0,-0.050000000000000044,0.6299999999999999,0.0,0
5.0,0.0,4.0,-0.01899999999999996,-0.03999999999999998,1.0,-0.12,0.04999999999999982,1.8000000000000003,1
0.0,1.0,0.0,0.06,-0.016000000000000014,-8.0,0.0,-0.35,-0.6000000000000001,1
6.0,0.0,12.0,0.10399999999999998,0.123,6.0,0.15000000000000002,-0.58,1.5,0
